通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
EUR/USD	マネーパートナーズ(パートナーズFX)	FXプライム(選べる外貨)	0	15	15	11.21143267161	14.34588
EUR/USD	マネーパートナーズ(パートナーズFX)	FXプライム(直トレFX)	0	15	15	11.21143267161	12.751893333333
EUR/USD	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	0	15	15	11.21143267161	10.360913333333
NZD/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	83	-73	10	11.069661379058	35
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	87	-77	10	11.069661379058	50
NZD/JPY	ヒロセ通商(LION FX)	FXブロードネット	90	-80	10	11.069661379058	63
NZD/JPY	JFX	FXブロードネット	90	-80	10	11.069661379058	63
AUD/USD	外為オンライン	DMM FX	55	-45	10	10.676004612034	38.25568
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	みんなのFX	0	13	13	10.42895076733	18.461538461538
CHF/JPY	マネーパートナーズ(パートナーズFX)	みんなのFX	0	13	13	10.42895076733	29.230769230769
CAD/JPY	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	20	-10	10	10.408318328008	88
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	20	-10	10	10.408318328008	41
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	20	-10	10	10.408318328008	74
CAD/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	20	-10	10	10.408318328008	55
GBP/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	33	-14	19	10.335186414125	23.157894736842
NZD/JPY	ライブスター証券	FXブロードネット	89	-80	9	9.9626952411526	93.333333333333
NZD/JPY	サクソバンクFX(スタンダード)	FXトレード・フィナンシャル(高速FX)	86	-77	9	9.9626952411526	88.888888888889
NZD/JPY	サクソバンクFX(FX CHOICE)	FXトレード・フィナンシャル(高速FX)	86	-77	9	9.9626952411526	66.666666666667
GBP/JPY	ライブスター証券	DMM FX	33	-15	18	9.7912292344347	25
EUR/USD	DMM FX	FXプライム(直トレFX)	-2	15	13	9.7165749820617	11.9549
EUR/USD	ライブスター証券	GMOクリック証券(FXネオ)	-2	15	13	9.7165749820617	17.472546153846
EUR/USD	DMM FX	FXプライム(選べる外貨)	-2	15	13	9.7165749820617	13.794115384615
EUR/USD	DMM FX	GMOクリック証券(FXネオ)	-2	15	13	9.7165749820617	9.1960769230769
EUR/USD	ライブスター証券	FXプライム(選べる外貨)	-2	15	13	9.7165749820617	22.070584615385
EUR/USD	ライブスター証券	FXプライム(直トレFX)	-2	15	13	9.7165749820617	20.231369230769
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	0	12	12	9.6267237852278	61.666666666667
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	0	12	12	9.6267237852278	35
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	0	12	12	9.6267237852278	73.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	0	12	12	9.6267237852278	46.666666666667
AUD/USD	FXブロードネット	FXトレード・フィナンシャル(高速FX)	56	-47	9	9.6084041508306	51.804566666667
AUD/USD	GMOクリック証券(FXネオ)	FXプライム(直トレFX)	58	-49	9	9.6084041508306	39.849666666667
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	59	-50	9	9.6084041508306	25.555555555556
AUD/USD	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	58	-49	9	9.6084041508306	55.789533333333
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	59	-50	9	9.6084041508306	16.666666666667
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(直トレFX)	59	-50	9	9.6084041508306	28.888888888889
CAD/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	20	-11	9	9.367486495207	95.555555555556
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	20	-11	9	9.367486495207	80
NZD/JPY	GMOクリック証券(FXネオ)	DMM FX	83	-75	8	8.8557291032467	37.5
AUD/JPY	GMOクリック証券(FXネオ)	FXプライム(直トレFX)	58	-50	8	8.5408036896272	28.75
AUD/JPY	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	58	-50	8	8.5408036896272	15
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	59	-51	8	8.5408036896272	57.5
AUD/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	58	-50	8	8.5408036896272	25
