通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
AUD/JPY	GFT	DMM FX	100	-46	54	57.822036620623	3.5185185185185
NZD/JPY	ライブスター証券	GFT	94	-43	51	56.931079904445	10.588235294118
AUD/USD	GFT	YJFX!(外貨ex)	94	-41	53	56.751258164686	8.5371660377358
AUD/JPY	GFT	外為オンライン	100	-50	50	53.538922796873	12.4
AUD/JPY	GFT	FXプライム(直トレFX)	100	-50	50	53.538922796873	5.6
AUD/JPY	GFT	FXプライム(選べる外貨)	100	-50	50	53.538922796873	5
AUD/USD	GFT	DMM FX	94	-45	49	52.468144340936	7.2900612244898
NZD/JPY	JFX	GFT	90	-43	47	52.465897166842	7.0212765957447
NZD/JPY	ヒロセ通商(LION FX)	GFT	90	-43	47	52.465897166842	7.0212765957447
AUD/JPY	GFT	FXブロードネット	100	-54	46	49.255808973123	10.434782608696
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	GFT	87	-43	44	49.117010113639	8.6363636363636
ZAR/JPY	YJFX!(外貨ex)	FXプライム(選べる外貨)	14	-9	5	48.875855327468	98
AUD/JPY	GFT	YJFX!(外貨ex)	100	-55	45	48.185030517186	4.6666666666667
AUD/JPY	GFT	GMOクリック証券(FXネオ)	100	-55	45	48.185030517186	4.2222222222222
NZD/JPY	YJFX!(外貨ex)	GFT	86	-43	43	48.000714429238	8.3720930232558
NZD/JPY	GMOクリック証券(FXネオ)	GFT	85	-43	42	46.884418744837	7.8571428571429
AUD/USD	GFT	FXプライム(直トレFX)	94	-51	43	46.043473605311	9.9687348837209
AUD/USD	GFT	FXプライム(選べる外貨)	94	-51	43	46.043473605311	13.291646511628
NZD/JPY	FXトレード・フィナンシャル(高速FX)	GFT	84	-43	41	45.768123060436	11.707317073171
AUD/USD	GFT	みんなのFX	94	-52	42	44.972695149374	5.1030428571429
AUD/JPY	GFT	マネーパートナーズ(パートナーズFX nano)	100	-59	41	43.901916693436	5.3658536585366
AUD/JPY	GFT	みんなのFX	100	-60	40	42.831138237499	4.75
AUD/JPY	GFT	FXトレード・フィナンシャル(高速FX)	100	-61	39	41.760359781561	4.3589743589744
AUD/USD	GFT	JFX	94	-56	38	40.689581325624	9.4003421052632
AUD/USD	GFT	ヒロセ通商(LION FX)	94	-56	38	40.689581325624	9.4003421052632
ZAR/JPY	YJFX!(外貨ex)	DMM FX	14	-10	4	39.100684261975	82.5
ZAR/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	13	-9	4	39.100684261975	110
AUD/USD	GFT	FXトレード・フィナンシャル(高速FX)	94	-58	36	38.548024413749	12.568605555556
AUD/USD	GFT	GMOクリック証券(FXネオ)	94	-58	36	38.548024413749	9.9225833333333
AUD/JPY	GFT	ヒロセ通商(LION FX)	100	-66	34	36.406467501874	6.1764705882353
AUD/JPY	GFT	JFX	100	-66	34	36.406467501874	6.1764705882353
NZD/JPY	DMM FX	GFT	75	-43	32	35.721461900828	10.3125
NZD/JPY	マネーパートナーズ(パートナーズFX)	GFT	75	-43	32	35.721461900828	13.125
CHF/JPY	GFT	FXブロードネット	7	37	44	34.694022377644	14.318181818182
NZD/JPY	ライブスター証券	外為オンライン	94	-65	29	32.372574847626	33.103448275862
AUD/JPY	GFT	ライブスター証券	100	-70	30	32.123353678124	14.666666666667
NZD/JPY	FXブロードネット	GFT	71	-43	28	31.256279163225	23.571428571429
NZD/JPY	みんなのFX	GFT	70	-43	27	30.139983478824	14.814814814815
ZAR/JPY	GMOクリック証券(FXネオ)	DMM FX	13	-10	3	29.325513196481	93.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	0	37	37	29.174518817565	16.756756756757
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	0	37	37	29.174518817565	20.540540540541
AUD/USD	ライブスター証券	YJFX!(外貨ex)	68	-41	27	28.911018310312	20.28617037037
NZD/JPY	JFX	外為オンライン	90	-65	25	27.907392110022	30
