通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
NZD/JPY	ヒロセ通商(LION FX)	外為オンライン	90	-65	25	27.907392110022	30
AUD/JPY	GFT	マネーパートナーズ(パートナーズFX)	100	-74	26	27.840239854374	9.2307692307692
AUD/USD	GFT	FXブロードネット	94	-68	26	27.840239854374	16.944719230769
CHF/JPY	GFT	YJFX!(外貨ex)	7	27	34	26.809017291816	14.411764705882
NZD/JPY	FXプライム(選べる外貨)	GFT	67	-43	24	26.791096425621	15.833333333333
AUD/USD	ライブスター証券	DMM FX	68	-45	23	24.627904486562	19.6726
AUD/USD	GFT	マネーパートナーズ(パートナーズFX)	94	-71	23	24.627904486562	19.1549
NZD/JPY	ライブスター証券	FXプライム(選べる外貨)	94	-72	22	24.558505056819	25.454545454545
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	外為オンライン	87	-65	22	24.558505056819	36.363636363636
NZD/JPY	YJFX!(外貨ex)	外為オンライン	86	-65	21	23.442209372419	37.142857142857
AUD/USD	GFT	ライブスター証券	94	-73	21	22.486347574687	24.94820952381
AUD/JPY	ライブスター証券	DMM FX	67	-46	21	22.486347574687	18.571428571429
NZD/JPY	GMOクリック証券(FXネオ)	外為オンライン	85	-65	20	22.325913688018	37.5
CHF/JPY	ライブスター証券	FXブロードネット	-9	37	28	22.078014240319	25
EUR/JPY	JFX	FXトレード・フィナンシャル(高速FX)	20	9	29	21.4034776961	4.4827586206897
EUR/JPY	ヒロセ通商(LION FX)	FXトレード・フィナンシャル(高速FX)	20	9	29	21.4034776961	4.8275862068966
CHF/JPY	マネーパートナーズ(パートナーズFX)	YJFX!(外貨ex)	0	27	27	21.289513731736	22.962962962963
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	YJFX!(外貨ex)	0	27	27	21.289513731736	17.777777777778
NZD/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	84	-65	19	21.209618003617	47.368421052632
NZD/JPY	ライブスター証券	DMM FX	94	-75	19	21.209618003617	26.842105263158
NZD/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	90	-72	18	20.093322319216	19.444444444444
NZD/JPY	JFX	FXプライム(選べる外貨)	90	-72	18	20.093322319216	19.444444444444
CHF/JPY	GFT	FXトレード・フィナンシャル(高速FX)	7	18	25	19.712512714571	30
EUR/JPY	ヒロセ通商(LION FX)	みんなのFX	20	6	26	19.189324830986	5.7692307692308
EUR/JPY	JFX	みんなのFX	20	6	26	19.189324830986	5.3846153846154
NZD/JPY	ライブスター証券	FXブロードネット	94	-77	17	18.977026634815	49.411764705882
CHF/JPY	GFT	GMOクリック証券(FXネオ)	7	17	24	18.924012205988	17.916666666667
EUR/JPY	ヒロセ通商(LION FX)	YJFX!(外貨ex)	20	5	25	18.451273875948	7.6
EUR/JPY	JFX	YJFX!(外貨ex)	20	5	25	18.451273875948	7.2
AUD/USD	FXトレード・フィナンシャル(高速FX)	YJFX!(外貨ex)	58	-41	17	18.203233750937	28.016705882353
AUD/JPY	ライブスター証券	外為オンライン	67	-50	17	18.203233750937	48.235294117647
AUD/USD	FXブロードネット	YJFX!(外貨ex)	58	-41	17	18.203233750937	27.316288235294
AUD/USD	ライブスター証券	FXプライム(選べる外貨)	68	-51	17	18.203233750937	39.223388235294
AUD/USD	ライブスター証券	FXプライム(直トレFX)	68	-51	17	18.203233750937	30.818376470588
AUD/JPY	ライブスター証券	FXプライム(直トレFX)	67	-50	17	18.203233750937	28.235294117647
AUD/JPY	ライブスター証券	FXプライム(選べる外貨)	67	-50	17	18.203233750937	26.470588235294
CAD/JPY	ライブスター証券	DMM FX	27	-10	17	17.89850494841	28.235294117647
CHF/JPY	DMM FX	FXブロードネット	-15	37	22	17.347011188822	25.454545454545
CHF/JPY	GFT	DMM FX	7	15	22	17.347011188822	19.545454545455
CHF/JPY	GFT	FXプライム(選べる外貨)	7	15	22	17.347011188822	29.545454545455
AUD/USD	ライブスター証券	みんなのFX	68	-52	16	17.132455294999	19.3490375
CAD/JPY	ライブスター証券	FXブロードネット	27	-11	16	16.845651716151	49.375
NZD/JPY	JFX	DMM FX	90	-75	15	16.744435266013	20
NZD/JPY	ヒロセ通商(LION FX)	DMM FX	90	-75	15	16.744435266013	20
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	87	-72	15	16.744435266013	26.666666666667
EUR/JPY	ヒロセ通商(LION FX)	GMOクリック証券(FXネオ)	20	2	22	16.237121010835	6.8181818181818
EUR/JPY	JFX	GMOクリック証券(FXネオ)	20	2	22	16.237121010835	6.3636363636364
AUD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	61	-46	15	16.061676839062	8
NZD/JPY	YJFX!(外貨ex)	FXプライム(選べる外貨)	86	-72	14	15.628139581612	27.142857142857
AUD/USD	外為オンライン	YJFX!(外貨ex)	55	-41	14	14.990898383125	34.020285714286
AUD/USD	GFT	外為オンライン	94	-80	14	14.990898383125	32.319271428571
CHF/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	-18	37	19	14.981509663074	46.315789473684
NZD/JPY	JFX	FXブロードネット	90	-77	13	14.511843897211	48.461538461538
NZD/JPY	ヒロセ通商(LION FX)	FXブロードネット	90	-77	13	14.511843897211	48.461538461538
NZD/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	85	-72	13	14.511843897211	26.923076923077
CHF/JPY	ライブスター証券	YJFX!(外貨ex)	-9	27	18	14.193009154491	31.111111111111
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	0	18	18	14.193009154491	41.111111111111
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	0	18	18	14.193009154491	48.888888888889
GBP/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	24	2	26	14.183391248848	17.402684615385
AUD/JPY	ライブスター証券	FXブロードネット	67	-54	13	13.920119927187	52.307692307692
AUD/USD	FXブロードネット	DMM FX	58	-45	13	13.920119927187	28.393853846154
AUD/USD	FXトレード・フィナンシャル(高速FX)	DMM FX	58	-45	13	13.920119927187	29.309784615385
AUD/USD	GMOクリック証券(FXネオ)	YJFX!(外貨ex)	54	-41	13	13.920119927187	29.309784615385
CHF/JPY	GFT	外為オンライン	7	10	17	13.404508645908	44.117647058824
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	0	17	17	13.404508645908	24.705882352941
CHF/JPY	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	0	17	17	13.404508645908	32.941176470588
CHF/JPY	GFT	みんなのFX	7	10	17	13.404508645908	14.705882352941
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	87	-75	12	13.395548212811	29.166666666667
NZD/JPY	外為オンライン	GFT	55	-43	12	13.395548212811	65
NZD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	84	-72	12	13.395548212811	41.666666666667
EUR/JPY	JFX	マネーパートナーズ(パートナーズFX nano)	20	-2	18	13.284917190683	8.3333333333333
EUR/JPY	JFX	DMM FX	20	-2	18	13.284917190683	7.7777777777778
EUR/JPY	ヒロセ通商(LION FX)	マネーパートナーズ(パートナーズFX nano)	20	-2	18	13.284917190683	8.8888888888889
EUR/JPY	ヒロセ通商(LION FX)	DMM FX	20	-2	18	13.284917190683	8.3333333333333
AUD/USD	ライブスター証券	JFX	68	-56	12	12.84934147125	37.705816666667
AUD/JPY	ライブスター証券	YJFX!(外貨ex)	67	-55	12	12.84934147125	34.166666666667
AUD/JPY	ライブスター証券	GMOクリック証券(FXネオ)	67	-55	12	12.84934147125	32.5
AUD/USD	ライブスター証券	ヒロセ通商(LION FX)	68	-56	12	12.84934147125	37.705816666667
CAD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	27	-15	12	12.634238787113	67.5
CAD/JPY	ライブスター証券	外為オンライン	27	-15	12	12.634238787113	67.5
GBP/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	29	-6	23	12.54684610475	19.130434782609
NZD/JPY	YJFX!(外貨ex)	DMM FX	86	-75	11	12.27925252841	30
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	0	15	15	11.827507628742	42.666666666667
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXプライム(選べる外貨)	0	15	15	11.827507628742	52
CHF/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	0	15	15	11.827507628742	37.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	0	15	15	11.827507628742	28
AUD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	61	-50	11	11.778563015312	16.363636363636
AUD/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(直トレFX)	61	-50	11	11.778563015312	19.090909090909
AUD/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	61	-50	11	11.778563015312	50
NZD/JPY	GMOクリック証券(FXネオ)	DMM FX	85	-75	10	11.162956844009	30
NZD/JPY	マネーパートナーズ(パートナーズFX)	外為オンライン	75	-65	10	11.162956844009	84
NZD/JPY	DMM FX	外為オンライン	75	-65	10	11.162956844009	75
NZD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	94	-84	10	11.162956844009	66
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	87	-77	10	11.162956844009	68
EUR/USD	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	0	15	15	11.070764325569	10.319486666667
EUR/JPY	ヒロセ通商(LION FX)	外為オンライン	20	-5	15	11.070764325569	19.333333333333
EUR/JPY	GFT	FXトレード・フィナンシャル(高速FX)	6	9	15	11.070764325569	9.3333333333333
EUR/JPY	JFX	外為オンライン	20	-5	15	11.070764325569	18.666666666667
EUR/JPY	ヒロセ通商(LION FX)	FXブロードネット	20	-5	15	11.070764325569	11.333333333333
EUR/USD	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	0	15	15	11.070764325569	10.319486666667
EUR/JPY	JFX	FXブロードネット	20	-5	15	11.070764325569	10.666666666667
AUD/USD	ライブスター証券	GMOクリック証券(FXネオ)	68	-58	10	10.707784559375	45.24698
AUD/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	68	-58	10	10.707784559375	54.77266
AUD/USD	外為オンライン	DMM FX	55	-45	10	10.707784559375	38.10272
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	56	-46	10	10.707784559375	17
AUD/JPY	ヒロセ通商(LION FX)	DMM FX	56	-46	10	10.707784559375	16
AUD/JPY	JFX	DMM FX	56	-46	10	10.707784559375	16
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	20	-10	10	10.528532322594	41
CAD/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	20	-10	10	10.528532322594	55
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	25	-6	19	10.364785912619	14.736842105263
EUR/JPY	JFX	ライブスター証券	20	-6	14	10.332713370531	19.285714285714
EUR/JPY	ヒロセ通商(LION FX)	ライブスター証券	20	-6	14	10.332713370531	20
CHF/JPY	GFT	ライブスター証券	7	6	13	10.250506611577	43.846153846154
NZD/JPY	YJFX!(外貨ex)	FXブロードネット	86	-77	9	10.046661159608	73.333333333333
NZD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	84	-75	9	10.046661159608	50
GBP/JPY	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	24	-6	18	9.8192708645868	11.666666666667
AUD/USD	GMOクリック証券(FXネオ)	DMM FX	54	-45	9	9.6370061034372	31.752266666667
EUR/JPY	JFX	FXプライム(選べる外貨)	20	-7	13	9.5946624154932	16.153846153846
EUR/USD	DMM FX	GMOクリック証券(FXネオ)	-2	15	13	9.5946624154932	9.1593076923077
EUR/USD	DMM FX	FXトレード・フィナンシャル(高速FX)	-2	15	13	9.5946624154932	9.1593076923077
EUR/USD	ライブスター証券	GMOクリック証券(FXネオ)	-2	15	13	9.5946624154932	17.402684615385
EUR/JPY	JFX	FXプライム(直トレFX)	20	-7	13	9.5946624154932	16.923076923077
EUR/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	20	-7	13	9.5946624154932	16.923076923077
EUR/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	-2	15	13	9.5946624154932	17.402684615385
EUR/JPY	ヒロセ通商(LION FX)	FXプライム(直トレFX)	20	-7	13	9.5946624154932	17.692307692308
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	20	-11	9	9.4756790903348	80
CAD/JPY	ライブスター証券	GMOクリック証券(FXネオ)	27	-18	9	9.4756790903348	53.333333333333
CAD/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	20	-11	9	9.4756790903348	95.555555555556
CAD/JPY	YJFX!(外貨ex)	DMM FX	19	-10	9	9.4756790903348	45.555555555556
CHF/JPY	FXプライム(選べる外貨)	FXブロードネット	-25	37	12	9.4620061029939	65
CHF/JPY	DMM FX	YJFX!(外貨ex)	-15	27	12	9.4620061029939	35
GBP/USD	外為オンライン	FXトレード・フィナンシャル(高速FX)	15	2	17	9.2737558165542	28.016705882353
GBP/USD	FXブロードネット	FXトレード・フィナンシャル(高速FX)	15	2	17	9.2737558165542	25.215035294118
NZD/JPY	GMOクリック証券(FXネオ)	FXブロードネット	85	-77	8	8.9303654752071	78.75
EUR/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	3	9	12	8.8566114604552	20
EUR/JPY	GFT	みんなのFX	6	6	12	8.8566114604552	12.5
GBP/JPY	YJFX!(外貨ex)	FXトレード・フィナンシャル(高速FX)	22	-6	16	8.7282407685216	17.5
AUD/JPY	ライブスター証券	マネーパートナーズ(パートナーズFX nano)	67	-59	8	8.5662276474997	52.5
AUD/JPY	YJFX!(外貨ex)	DMM FX	54	-46	8	8.5662276474997	20
CAD/JPY	ライブスター証券	GFT	27	-19	8	8.4228258580754	70
CAD/JPY	YJFX!(外貨ex)	FXブロードネット	19	-11	8	8.4228258580754	90
CAD/JPY	ライブスター証券	FXプライム(選べる外貨)	27	-19	8	8.4228258580754	60
GBP/USD	FXプライム(直トレFX)	FXトレード・フィナンシャル(高速FX)	13	2	15	8.182725720489	20.638973333333
GBP/USD	FXプライム(選べる外貨)	FXトレード・フィナンシャル(高速FX)	13	2	15	8.182725720489	31.752266666667
EUR/USD	GFT	GMOクリック証券(FXネオ)	-4	15	11	8.1185605054173	12.989563636364
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	2	9	11	8.1185605054173	10.909090909091
EUR/JPY	DMM FX	FXトレード・フィナンシャル(高速FX)	2	9	11	8.1185605054173	10
EUR/JPY	GFT	YJFX!(外貨ex)	6	5	11	8.1185605054173	17.272727272727
EUR/USD	GFT	FXトレード・フィナンシャル(高速FX)	-4	15	11	8.1185605054173	12.989563636364
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	外為オンライン	0	10	10	7.8850050858283	74
CHF/JPY	マネーパートナーズ(パートナーズFX)	外為オンライン	0	10	10	7.8850050858283	88
CHF/JPY	マネーパートナーズ(パートナーズFX)	みんなのFX	0	10	10	7.8850050858283	38
CHF/JPY	GMOクリック証券(FXネオ)	FXブロードネット	-27	37	10	7.8850050858283	56
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	みんなのFX	0	10	10	7.8850050858283	24
NZD/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	84	-77	7	7.8140697908062	111.42857142857
NZD/JPY	ライブスター証券	YJFX!(外貨ex)	94	-87	7	7.8140697908062	77.142857142857
GBP/JPY	FXプライム(選べる外貨)	FXトレード・フィナンシャル(高速FX)	20	-6	14	7.6372106724564	20
GBP/JPY	FXプライム(直トレFX)	FXトレード・フィナンシャル(高速FX)	20	-6	14	7.6372106724564	20.714285714286
GBP/USD	ライブスター証券	DMM FX	24	-10	14	7.6372106724564	34.020285714286
GBP/JPY	ライブスター証券	FXブロードネット	29	-15	14	7.6372106724564	57.857142857143
GBP/JPY	ライブスター証券	外為オンライン	29	-15	14	7.6372106724564	60
GBP/JPY	GFT	FXトレード・フィナンシャル(高速FX)	20	-6	14	7.6372106724564	17.857142857143
GBP/JPY	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	20	-6	14	7.6372106724564	20.714285714286
GBP/JPY	ライブスター証券	DMM FX	29	-15	14	7.6372106724564	32.142857142857
AUD/USD	FXトレード・フィナンシャル(高速FX)	FXプライム(直トレFX)	58	-51	7	7.4954491915623	64.638542857143
AUD/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	61	-54	7	7.4954491915623	58.571428571429
AUD/USD	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	58	-51	7	7.4954491915623	85.050714285714
AUD/USD	FXブロードネット	FXプライム(選べる外貨)	58	-51	7	7.4954491915623	83.3497
AUD/USD	FXブロードネット	FXプライム(直トレFX)	58	-51	7	7.4954491915623	62.937528571429
AUD/JPY	ライブスター証券	みんなのFX	67	-60	7	7.4954491915623	55.714285714286
EUR/JPY	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	1	9	10	7.3805095503794	16
CAD/JPY	ライブスター証券	YJFX!(外貨ex)	27	-20	7	7.369972625816	78.571428571429
CAD/JPY	みんなのFX	DMM FX	17	-10	7	7.369972625816	24.285714285714
CHF/JPY	FXトレード・フィナンシャル(高速FX)	YJFX!(外貨ex)	-18	27	9	7.0965045772455	82.222222222222
CHF/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	-9	18	9	7.0965045772455	91.111111111111
CHF/JPY	YJFX!(外貨ex)	FXブロードネット	-28	37	9	7.0965045772455	68.888888888889
GBP/USD	ライブスター証券	YJFX!(外貨ex)	24	-11	13	7.0916956244238	48.544330769231
GBP/USD	ライブスター証券	GMOクリック証券(FXネオ)	24	-11	13	7.0916956244238	36.637230769231
USD/JPY	ライブスター証券	DMM FX	9	-1	8	6.7186804511594	15
NZD/JPY	ヒロセ通商(LION FX)	FXトレード・フィナンシャル(高速FX)	90	-84	6	6.6977741064053	75
NZD/JPY	JFX	FXトレード・フィナンシャル(高速FX)	90	-84	6	6.6977741064053	75
NZD/JPY	ライブスター証券	みんなのFX	94	-88	6	6.6977741064053	96.666666666667
EUR/JPY	ヒロセ通商(LION FX)	GFT	20	-11	9	6.6424585953414	20
EUR/JPY	ライブスター証券	みんなのFX	3	6	9	6.6424585953414	27.777777777778
EUR/JPY	JFX	GFT	20	-11	9	6.6424585953414	18.888888888889
EUR/JPY	FXプライム(選べる外貨)	FXトレード・フィナンシャル(高速FX)	0	9	9	6.6424585953414	20
EUR/JPY	外為オンライン	FXトレード・フィナンシャル(高速FX)	0	9	9	6.6424585953414	27.777777777778
EUR/JPY	FXプライム(直トレFX)	FXトレード・フィナンシャル(高速FX)	0	9	9	6.6424585953414	21.111111111111
EUR/JPY	FXブロードネット	FXトレード・フィナンシャル(高速FX)	0	9	9	6.6424585953414	14.444444444444
GBP/USD	YJFX!(外貨ex)	FXトレード・フィナンシャル(高速FX)	10	2	12	6.5461805763912	34.729041666667
GBP/USD	DMM FX	FXトレード・フィナンシャル(高速FX)	10	2	12	6.5461805763912	21.829683333333
AUD/JPY	ヒロセ通商(LION FX)	FXプライム(直トレFX)	56	-50	6	6.4246707356248	41.666666666667
AUD/JPY	ヒロセ通商(LION FX)	外為オンライン	56	-50	6	6.4246707356248	98.333333333333
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	56	-50	6	6.4246707356248	38.333333333333
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(直トレFX)	56	-50	6	6.4246707356248	43.333333333333
AUD/JPY	JFX	外為オンライン	56	-50	6	6.4246707356248	98.333333333333
AUD/USD	FXトレード・フィナンシャル(高速FX)	みんなのFX	58	-52	6	6.4246707356248	39.690333333333
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	外為オンライン	56	-50	6	6.4246707356248	100
AUD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	67	-61	6	6.4246707356248	61.666666666667
AUD/JPY	JFX	FXプライム(直トレFX)	56	-50	6	6.4246707356248	41.666666666667
AUD/JPY	JFX	FXプライム(選べる外貨)	56	-50	6	6.4246707356248	36.666666666667
AUD/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	56	-50	6	6.4246707356248	36.666666666667
AUD/USD	FXブロードネット	みんなのFX	58	-52	6	6.4246707356248	37.705816666667
AUD/JPY	FXトレード・フィナンシャル(高速FX)	GMOクリック証券(FXネオ)	61	-55	6	6.4246707356248	20
AUD/JPY	FXトレード・フィナンシャル(高速FX)	YJFX!(外貨ex)	61	-55	6	6.4246707356248	23.333333333333
AUD/JPY	GMOクリック証券(FXネオ)	DMM FX	52	-46	6	6.4246707356248	23.333333333333
CAD/JPY	みんなのFX	FXブロードネット	17	-11	6	6.3171193935565	80
CHF/JPY	ライブスター証券	GMOクリック証券(FXネオ)	-9	17	8	6.3080040686626	62.5
GBP/USD	みんなのFX	FXトレード・フィナンシャル(高速FX)	9	2	11	6.0006655283586	10.824636363636
GBP/USD	GFT	FXトレード・フィナンシャル(高速FX)	9	2	11	6.0006655283586	30.308981818182
GBP/USD	ライブスター証券	GFT	24	-13	11	6.0006655283586	49.793327272727
EUR/JPY	ライブスター証券	YJFX!(外貨ex)	3	5	8	5.9044076403035	36.25
EUR/JPY	DMM FX	みんなのFX	2	6	8	5.9044076403035	15
EUR/JPY	GFT	GMOクリック証券(FXネオ)	6	2	8	5.9044076403035	18.75
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	みんなのFX	2	6	8	5.9044076403035	16.25
EUR/USD	マネーパートナーズ(パートナーズFX)	YJFX!(外貨ex)	0	8	8	5.9044076403035	23.8142
NZD/JPY	ライブスター証券	GMOクリック証券(FXネオ)	94	-89	5	5.5814784220044	102
CHF/JPY	ヒロセ通商(LION FX)	FXブロードネット	-30	37	7	5.5195035600798	80
CHF/JPY	JFX	FXブロードネット	-30	37	7	5.5195035600798	80
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	25	-15	10	5.455150480326	65
GBP/USD	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	8	2	10	5.455150480326	26.19562
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	25	-15	10	5.455150480326	29
GBP/JPY	マネーパートナーズ(パートナーズFX nano)	外為オンライン	25	-15	10	5.455150480326	68
CAD/JPY	GMOクリック証券(FXネオ)	DMM FX	15	-10	5	5.2642661612971	68
EUR/JPY	DMM FX	YJFX!(外貨ex)	2	5	7	5.1663566852656	22.857142857143
EUR/JPY	マネーパートナーズ(パートナーズFX nano)	YJFX!(外貨ex)	2	5	7	5.1663566852656	24.285714285714
EUR/JPY	マネーパートナーズ(パートナーズFX)	みんなのFX	1	6	7	5.1663566852656	24.285714285714
GBP/JPY	GMOクリック証券(FXネオ)	FXブロードネット	24	-15	9	4.9096354322934	64.444444444444
GBP/JPY	GMOクリック証券(FXネオ)	外為オンライン	24	-15	9	4.9096354322934	67.777777777778
GBP/JPY	GMOクリック証券(FXネオ)	DMM FX	24	-15	9	4.9096354322934	24.444444444444
GBP/JPY	DMM FX	FXトレード・フィナンシャル(高速FX)	15	-6	9	4.9096354322934	23.333333333333
GBP/JPY	みんなのFX	FXトレード・フィナンシャル(高速FX)	15	-6	9	4.9096354322934	22.222222222222
