通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
CHF/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	21	23	44	433.19877916708	20
CHF/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	21	15	36	354.43536477306	18.888888888889
CHF/JPY	FXトレード・フィナンシャル(高速FX)	みんなのFX	21	13	34	334.74451117456	14.705882352941
CHF/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	21	10	31	305.2082307768	32.258064516129
CHF/JPY	FXトレード・フィナンシャル(高速FX)	GMOクリック証券(FXネオ)	21	10	31	305.2082307768	21.935483870968
CHF/JPY	FXトレード・フィナンシャル(高速FX)	ライブスター証券	21	6	27	265.8265235798	30.37037037037
CHF/JPY	FXトレード・フィナンシャル(高速FX)	FXプライム(選べる外貨)	21	5	26	255.98109678055	34.615384615385
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	0	23	23	226.44481638279	26.95652173913
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	0	23	23	226.44481638279	33.04347826087
CHF/JPY	FXトレード・フィナンシャル(高速FX)	サクソバンクFX(スタンダード)	21	-2	19	187.06310918578	47.368421052632
CHF/JPY	FXトレード・フィナンシャル(高速FX)	サクソバンクFX(FX CHOICE)	21	-2	19	187.06310918578	36.842105263158
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	0	15	15	147.68140198878	28
CHF/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	0	15	15	147.68140198878	37.333333333333
CHF/JPY	ライブスター証券	FXブロードネット	-9	23	14	137.83597518952	50
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	みんなのFX	0	13	13	127.99054839027	18.461538461538
CHF/JPY	マネーパートナーズ(パートナーズFX)	みんなのFX	0	13	13	127.99054839027	29.230769230769
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	0	10	10	98.454267992517	42
CHF/JPY	マネーパートナーズ(パートナーズFX)	外為オンライン	0	10	10	98.454267992517	88
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	外為オンライン	0	10	10	98.454267992517	74
CHF/JPY	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	0	10	10	98.454267992517	56
CHF/JPY	FXプライム(選べる外貨)	FXブロードネット	-15	23	8	78.763414394014	97.5
CHF/JPY	DMM FX	FXブロードネット	-15	23	8	78.763414394014	70
CHF/JPY	マネーパートナーズ(パートナーズFX)	ライブスター証券	0	6	6	59.07256079551	116.66666666667
CHF/JPY	ライブスター証券	DMM FX	-9	15	6	59.07256079551	83.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	ライブスター証券	0	6	6	59.07256079551	93.333333333333
ZAR/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	14	-9	5	49.227133996259	60
CHF/JPY	ライブスター証券	みんなのFX	-9	13	4	39.381707197007	80
ZAR/JPY	サクソバンクFX(FX CHOICE)	DMM FX	14	-10	4	39.381707197007	35
ZAR/JPY	サクソバンクFX(FX CHOICE)	FXトレード・フィナンシャル(高速FX)	14	-11	3	29.536280397755	100
AUD/USD	ライブスター証券	FXプライム(直トレFX)	68	-45	23	24.554810607678	22.870243478261
AUD/USD	ライブスター証券	FXプライム(選べる外貨)	68	-45	23	24.554810607678	29.107582608696
AUD/USD	ライブスター証券	DMM FX	68	-45	23	24.554810607678	19.751573913043
AUD/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	68	-47	21	22.419609685271	26.186923809524
NZD/JPY	ライブスター証券	FXプライム(選べる外貨)	92	-73	19	21.032356620211	29.473684210526
EUR/JPY	JFX	FXトレード・フィナンシャル(高速FX)	20	8	28	20.928007653671	4.6428571428571
EUR/JPY	ヒロセ通商(LION FX)	FXトレード・フィナンシャル(高速FX)	20	8	28	20.928007653671	5
AUD/USD	ライブスター証券	みんなのFX	68	-50	18	19.216808301661	17.268188888889
AUD/JPY	ライブスター証券	FXプライム(直トレFX)	64	-46	18	19.216808301661	26.666666666667
AUD/JPY	ライブスター証券	DMM FX	64	-46	18	19.216808301661	21.666666666667
AUD/JPY	ライブスター証券	FXプライム(選べる外貨)	64	-46	18	19.216808301661	25
NZD/JPY	JFX	FXプライム(選べる外貨)	90	-73	17	18.818424344399	20.588235294118
NZD/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	90	-73	17	18.818424344399	20.588235294118
NZD/JPY	ライブスター証券	DMM FX	92	-75	17	18.818424344399	30
CAD/JPY	ライブスター証券	DMM FX	27	-10	17	17.694141157613	28.235294117647
EUR/JPY	JFX	FXプライム(直トレFX)	20	3	23	17.190863429801	9.5652173913043
EUR/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	20	3	23	17.190863429801	9.5652173913043
EUR/JPY	JFX	FXプライム(選べる外貨)	20	3	23	17.190863429801	9.1304347826087
EUR/JPY	ヒロセ通商(LION FX)	FXプライム(直トレFX)	20	3	23	17.190863429801	10
NZD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	92	-77	15	16.604492068588	44
NZD/JPY	ヒロセ通商(LION FX)	DMM FX	90	-75	15	16.604492068588	20
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	88	-73	15	16.604492068588	26.666666666667
NZD/JPY	JFX	DMM FX	90	-75	15	16.604492068588	20
EUR/JPY	ヒロセ通商(LION FX)	GMOクリック証券(FXネオ)	20	2	22	16.443434585028	6.8181818181818
EUR/JPY	JFX	GMOクリック証券(FXネオ)	20	2	22	16.443434585028	6.3636363636364
EUR/JPY	JFX	みんなのFX	20	2	22	16.443434585028	6.3636363636364
EUR/JPY	ヒロセ通商(LION FX)	みんなのFX	20	2	22	16.443434585028	6.8181818181818
CAD/JPY	ライブスター証券	FXブロードネット	27	-12	15	15.612477492012	52.666666666667
EUR/JPY	JFX	外為オンライン	20	0	20	14.94857689548	14
EUR/JPY	ヒロセ通商(LION FX)	FXブロードネット	20	0	20	14.94857689548	8.5
EUR/JPY	ヒロセ通商(LION FX)	外為オンライン	20	0	20	14.94857689548	14.5
EUR/JPY	JFX	FXブロードネット	20	0	20	14.94857689548	8
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	88	-75	13	14.390559792776	26.923076923077
