通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
ZAR/JPY	DMM FX	FXプライム(選べる外貨)	40	-9	31	311.08881083793	14.193548387097
ZAR/JPY	みんなのFX	FXプライム(選べる外貨)	40	-9	31	311.08881083793	9.6774193548387
ZAR/JPY	みんなのFX	FXトレード・フィナンシャル(高速FX)	40	-11	29	291.01856497742	10.344827586207
ZAR/JPY	DMM FX	FXトレード・フィナンシャル(高速FX)	40	-11	29	291.01856497742	15.172413793103
ZAR/JPY	みんなのFX	ヒロセ通商(LION FX)	40	-13	27	270.94831911691	5.1851851851852
ZAR/JPY	DMM FX	ヒロセ通商(LION FX)	40	-13	27	270.94831911691	10.37037037037
ZAR/JPY	みんなのFX	JFX	40	-13	27	270.94831911691	5.1851851851852
ZAR/JPY	DMM FX	JFX	40	-13	27	270.94831911691	10.37037037037
ZAR/JPY	DMM FX	GMOクリック証券(FXネオ)	40	-14	26	260.91319618665	10.769230769231
ZAR/JPY	みんなのFX	GMOクリック証券(FXネオ)	40	-14	26	260.91319618665	5.3846153846154
ZAR/JPY	DMM FX	外為オンライン	40	-15	25	250.8780732564	65.6
ZAR/JPY	DMM FX	FXブロードネット	40	-15	25	250.8780732564	71.2
ZAR/JPY	みんなのFX	外為オンライン	40	-15	25	250.8780732564	60
ZAR/JPY	みんなのFX	FXブロードネット	40	-15	25	250.8780732564	65.6
ZAR/JPY	DMM FX	ライブスター証券	40	-16	24	240.84295032614	67.916666666667
ZAR/JPY	みんなのFX	ライブスター証券	40	-16	24	240.84295032614	62.083333333333
ZAR/JPY	DMM FX	マネーパートナーズ(パートナーズFX)	40	-19	21	210.73758153537	15.714285714286
ZAR/JPY	DMM FX	マネーパートナーズ(パートナーズFX nano)	40	-19	21	210.73758153537	15.714285714286
ZAR/JPY	みんなのFX	マネーパートナーズ(パートナーズFX)	40	-19	21	210.73758153537	9.047619047619
ZAR/JPY	みんなのFX	サクソバンクFX(FX CHOICE)	40	-19	21	210.73758153537	0
ZAR/JPY	みんなのFX	サクソバンクFX(スタンダード)	40	-19	21	210.73758153537	33.333333333333
ZAR/JPY	みんなのFX	マネーパートナーズ(パートナーズFX nano)	40	-19	21	210.73758153537	9.047619047619
ZAR/JPY	DMM FX	サクソバンクFX(FX CHOICE)	40	-19	21	210.73758153537	6.6666666666667
ZAR/JPY	DMM FX	サクソバンクFX(スタンダード)	40	-19	21	210.73758153537	40
ZAR/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	12	-9	3	30.105368790768	100
AUD/JPY	JFX	DMM FX	70	-46	24	25.699783693487	6.6666666666667
AUD/JPY	ヒロセ通商(LION FX)	DMM FX	70	-46	24	25.699783693487	6.6666666666667
AUD/JPY	サクソバンクFX(FX CHOICE)	DMM FX	69	-46	23	24.628959372925	10.869565217391
AUD/JPY	サクソバンクFX(スタンダード)	DMM FX	69	-46	23	24.628959372925	13.913043478261
AUD/USD	ライブスター証券	DMM FX	68	-45	23	24.628959372925	19.849052173913
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	67	-46	21	22.487310731801	8.0952380952381
AUD/JPY	JFX	FXプライム(選べる外貨)	70	-50	20	21.416486411239	11
AUD/JPY	GMOクリック証券(FXネオ)	DMM FX	66	-46	20	21.416486411239	7
AUD/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	70	-50	20	21.416486411239	11
AUD/JPY	ヒロセ通商(LION FX)	FXプライム(直トレFX)	70	-50	20	21.416486411239	12.5
AUD/JPY	JFX	FXプライム(直トレFX)	70	-50	20	21.416486411239	12.5
AUD/JPY	サクソバンクFX(FX CHOICE)	FXプライム(直トレFX)	69	-50	19	20.345662090677	17.894736842105
AUD/JPY	サクソバンクFX(スタンダード)	FXプライム(直トレFX)	69	-50	19	20.345662090677	21.578947368421
AUD/JPY	サクソバンクFX(スタンダード)	FXプライム(選べる外貨)	69	-50	19	20.345662090677	20
AUD/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	69	-50	19	20.345662090677	16.315789473684
AUD/USD	ライブスター証券	みんなのFX	68	-50	18	19.274837770115	17.353411111111
AUD/JPY	ヒロセ通商(LION FX)	FXトレード・フィナンシャル(高速FX)	70	-52	18	19.274837770115	7.7777777777778
AUD/JPY	JFX	FXトレード・フィナンシャル(高速FX)	70	-52	18	19.274837770115	7.7777777777778
NZD/JPY	ヒロセ通商(LION FX)	FXプライム(選べる外貨)	90	-73	17	18.718343977098	20.588235294118
NZD/JPY	JFX	FXプライム(選べる外貨)	90	-73	17	18.718343977098	20.588235294118
AUD/JPY	サクソバンクFX(FX CHOICE)	FXトレード・フィナンシャル(高速FX)	69	-52	17	18.204013449553	13.529411764706
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(直トレFX)	67	-50	17	18.204013449553	15.294117647059
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	67	-50	17	18.204013449553	13.529411764706
AUD/JPY	ライブスター証券	DMM FX	63	-46	17	18.204013449553	22.941176470588
AUD/JPY	サクソバンクFX(スタンダード)	FXトレード・フィナンシャル(高速FX)	69	-52	17	18.204013449553	17.647058823529
CAD/JPY	ライブスター証券	DMM FX	27	-10	17	17.780752857995	28.235294117647
AUD/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	66	-50	16	17.133189128991	12.5
AUD/JPY	GMOクリック証券(FXネオ)	FXプライム(直トレFX)	66	-50	16	17.133189128991	14.375
CHF/JPY	ライブスター証券	外為オンライン	1	20	21	17.055006456538	39.047619047619
CHF/JPY	ライブスター証券	FXブロードネット	1	20	21	17.055006456538	33.333333333333
CAD/JPY	ライブスター証券	FXブロードネット	27	-11	16	16.734826219289	49.375
NZD/JPY	ヒロセ通商(LION FX)	DMM FX	90	-75	15	16.516185862145	20
NZD/JPY	ライブスター証券	FXプライム(選べる外貨)	88	-73	15	16.516185862145	37.333333333333
NZD/JPY	JFX	DMM FX	90	-75	15	16.516185862145	20
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	0	20	20	16.242863291941	31
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	0	20	20	16.242863291941	38
CHF/JPY	マネーパートナーズ(パートナーズFX)	外為オンライン	0	20	20	16.242863291941	44
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	外為オンライン	0	20	20	16.242863291941	37
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	67	-52	15	16.06236480843	10
AUD/JPY	JFX	FXブロードネット	70	-55	15	16.06236480843	30
AUD/JPY	ヒロセ通商(LION FX)	FXブロードネット	70	-55	15	16.06236480843	30
AUD/USD	FXトレード・フィナンシャル(高速FX)	DMM FX	60	-45	15	16.06236480843	25.629653333333
AUD/USD	外為オンライン	DMM FX	60	-45	15	16.06236480843	25.629653333333
CAD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	27	-12	15	15.688899580583	54
CHF/JPY	ライブスター証券	みんなのFX	1	18	19	15.430720127344	16.842105263158
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	87	-73	14	15.415106804669	28.571428571429
AUD/JPY	サクソバンクFX(スタンダード)	FXブロードネット	69	-55	14	14.991540487868	43.571428571429
AUD/USD	FXブロードネット	DMM FX	59	-45	14	14.991540487868	26.602207142857
AUD/JPY	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	66	-52	14	14.991540487868	8.5714285714286
AUD/JPY	サクソバンクFX(FX CHOICE)	FXブロードネット	69	-55	14	14.991540487868	38.571428571429
CHF/JPY	マネーパートナーズ(パートナーズFX)	みんなのFX	0	18	18	14.618576962747	21.111111111111
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	みんなのFX	0	18	18	14.618576962747	13.333333333333
NZD/JPY	ヒロセ通商(LION FX)	FXトレード・フィナンシャル(高速FX)	90	-77	13	14.314027747192	34.615384615385
NZD/JPY	JFX	FXトレード・フィナンシャル(高速FX)	90	-77	13	14.314027747192	34.615384615385
NZD/JPY	ライブスター証券	DMM FX	88	-75	13	14.314027747192	39.230769230769
AUD/JPY	ライブスター証券	FXプライム(選べる外貨)	63	-50	13	13.920716167306	34.615384615385
AUD/JPY	ライブスター証券	FXプライム(直トレFX)	63	-50	13	13.920716167306	36.923076923077
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	87	-75	12	13.212948689716	29.166666666667
NZD/JPY	サクソバンクFX(FX CHOICE)	FXプライム(選べる外貨)	85	-73	12	13.212948689716	41.666666666667
NZD/JPY	サクソバンクFX(スタンダード)	FXプライム(選べる外貨)	85	-73	12	13.212948689716	58.333333333333
NZD/JPY	GMOクリック証券(FXネオ)	FXプライム(選べる外貨)	85	-73	12	13.212948689716	29.166666666667
CHF/JPY	ライブスター証券	FXプライム(選べる外貨)	1	15	16	12.994290633553	45
CHF/JPY	ライブスター証券	DMM FX	1	15	16	12.994290633553	31.25
AUD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	67	-55	12	12.849891846744	38.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	0	15	15	12.182147468956	28
CHF/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	0	15	15	12.182147468956	37.333333333333
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXプライム(選べる外貨)	0	15	15	12.182147468956	52
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXプライム(選べる外貨)	0	15	15	12.182147468956	42.666666666667
NZD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	88	-77	11	12.11186963224	60
AUD/USD	ライブスター証券	ヒロセ通商(LION FX)	68	-57	11	11.779067526182	41.502563636364
AUD/JPY	GMOクリック証券(FXネオ)	FXブロードネット	66	-55	11	11.779067526182	39.090909090909
AUD/USD	ライブスター証券	JFX	68	-57	11	11.779067526182	41.502563636364
AUD/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	63	-52	11	11.779067526182	33.636363636364
AUD/USD	GMOクリック証券(FXネオ)	DMM FX	56	-45	11	11.779067526182	26.212145454545
NZD/JPY	サクソバンクFX(スタンダード)	DMM FX	85	-75	10	11.010790574763	65
NZD/JPY	サクソバンクFX(FX CHOICE)	DMM FX	85	-75	10	11.010790574763	45
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	87	-77	10	11.010790574763	50
NZD/JPY	GMOクリック証券(FXネオ)	DMM FX	85	-75	10	11.010790574763	30
AUD/USD	FXトレード・フィナンシャル(高速FX)	みんなのFX	60	-50	10	10.70824320562	24.0278
AUD/USD	FXプライム(直トレFX)	DMM FX	55	-45	10	10.70824320562	36.0417
AUD/USD	FXプライム(選べる外貨)	DMM FX	55	-45	10	10.70824320562	50.45838
AUD/USD	外為オンライン	みんなのFX	60	-50	10	10.70824320562	24.0278
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	DMM FX	20	-10	10	10.459266387056	41
CAD/JPY	マネーパートナーズ(パートナーズFX)	DMM FX	20	-10	10	10.459266387056	55
NZD/JPY	JFX	FXブロードネット	90	-81	9	9.9097115172869	70
NZD/JPY	ヒロセ通商(LION FX)	FXブロードネット	90	-81	9	9.9097115172869	70
AUD/USD	FXブロードネット	みんなのFX	59	-50	9	9.6374188850577	25.362677777778
CAD/JPY	マネーパートナーズ(パートナーズFX)	FXブロードネット	20	-11	9	9.4133397483501	95.555555555556
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	20	-11	9	9.4133397483501	80
CHF/JPY	ライブスター証券	FXトレード・フィナンシャル(高速FX)	1	10	11	8.9335748105676	74.545454545455
NZD/JPY	GMOクリック証券(FXネオ)	FXトレード・フィナンシャル(高速FX)	85	-77	8	8.8086324598106	56.25
NZD/JPY	サクソバンクFX(FX CHOICE)	FXトレード・フィナンシャル(高速FX)	85	-77	8	8.8086324598106	75
NZD/JPY	サクソバンクFX(スタンダード)	FXトレード・フィナンシャル(高速FX)	85	-77	8	8.8086324598106	100
AUD/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	68	-60	8	8.5665945644957	69.079925
AUD/JPY	ライブスター証券	FXブロードネット	63	-55	8	8.5665945644957	85
AUD/USD	ライブスター証券	GMOクリック証券(FXネオ)	68	-60	8	8.5665945644957	57.066025
CAD/JPY	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	20	-12	8	8.3674131096445	110
CAD/JPY	ライブスター証券	FXプライム(選べる外貨)	27	-19	8	8.3674131096445	60
CAD/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	20	-12	8	8.3674131096445	92.5
CHF/JPY	FXトレード・フィナンシャル(高速FX)	FXブロードネット	-10	20	10	8.1214316459706	88
CHF/JPY	FXトレード・フィナンシャル(高速FX)	外為オンライン	-10	20	10	8.1214316459706	100
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	FXトレード・フィナンシャル(高速FX)	0	10	10	8.1214316459706	74
CHF/JPY	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	0	10	10	8.1214316459706	88
CHF/JPY	ライブスター証券	GMOクリック証券(FXネオ)	1	9	10	8.1214316459706	50
EUR/USD	ライブスター証券	FXトレード・フィナンシャル(高速FX)	0	10	10	7.6917160218445	22.82641
EUR/USD	マネーパートナーズ(パートナーズFX)	FXトレード・フィナンシャル(高速FX)	0	10	10	7.6917160218445	15.61807
AUD/USD	ライブスター証券	FXプライム(選べる外貨)	68	-61	7	7.4957702439338	96.1112
AUD/JPY	みんなのFX	DMM FX	53	-46	7	7.4957702439338	20
AUD/USD	ライブスター証券	FXプライム(直トレFX)	68	-61	7	7.4957702439338	75.515942857143
CAD/JPY	GMOクリック証券(FXネオ)	DMM FX	17	-10	7	7.3214864709389	48.571428571429
CAD/JPY	ライブスター証券	GMOクリック証券(FXネオ)	27	-20	7	7.3214864709389	68.571428571429
CHF/JPY	マネーパートナーズ(パートナーズFX nano)	GMOクリック証券(FXネオ)	0	9	9	7.3092884813735	46.666666666667
CHF/JPY	マネーパートナーズ(パートナーズFX)	GMOクリック証券(FXネオ)	0	9	9	7.3092884813735	62.222222222222
EUR/USD	ライブスター証券	サクソバンクFX(スタンダード)	0	9	9	6.92254441966	32.037066666667
EUR/USD	ライブスター証券	サクソバンクFX(FX CHOICE)	0	9	9	6.92254441966	26.697555555556
EUR/USD	マネーパートナーズ(パートナーズFX)	サクソバンクFX(スタンダード)	0	9	9	6.92254441966	24.0278
EUR/USD	マネーパートナーズ(パートナーズFX)	サクソバンクFX(FX CHOICE)	0	9	9	6.92254441966	18.688288888889
NZD/JPY	マネーパートナーズ(パートナーズFX nano)	FXブロードネット	87	-81	6	6.606474344858	113.33333333333
CHF/JPY	FXトレード・フィナンシャル(高速FX)	みんなのFX	-10	18	8	6.4971453167764	62.5
AUD/JPY	FXブロードネット	DMM FX	52	-46	6	6.4249459233718	71.666666666667
AUD/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	52	-46	6	6.4249459233718	20
AUD/USD	GMOクリック証券(FXネオ)	みんなのFX	56	-50	6	6.4249459233718	24.0278
CAD/JPY	GMOクリック証券(FXネオ)	FXブロードネット	17	-11	6	6.2755598322334	108.33333333333
